carat,cut,clarity,table,x,y,z,E,F,G,H,I,J,price
1.73,2,6,58.0,7.54,7.5,4.83,1,0,0,0,0,0,14479
0.5,5,6,60.0,5.15,5.13,3.08,0,0,0,0,0,0,1764
1.3,3,7,58.0,6.93,7.01,4.38,0,0,0,1,0,0,6140
0.65,4,5,58.0,5.65,5.62,3.36,0,1,0,0,0,0,1970
0.8,4,4,58.0,5.9,5.94,3.7,0,0,1,0,0,0,3514
1.54,4,5,59.0,7.4,7.35,4.56,0,0,0,1,0,0,10897
0.74,5,5,56.0,5.81,5.86,3.6,1,0,0,0,0,0,3374
1.21,4,7,59.0,6.87,6.82,4.17,0,0,1,0,0,0,4472
1.91,4,6,60.0,8.02,7.98,4.77,0,0,0,0,1,0,13092
0.35,5,2,57.0,4.57,4.6,2.78,0,1,0,0,0,0,994
0.3,4,5,58.0,4.33,4.31,2.66,1,0,0,0,0,0,844
0.9,3,4,58.0,6.11,6.14,3.86,0,0,0,0,0,0,5547
0.58,5,6,54.0,5.36,5.39,3.35,0,1,0,0,0,0,1401
0.53,5,5,55.0,5.21,5.24,3.21,0,0,0,0,0,0,1585
2.22,3,7,57.0,8.28,8.23,5.22,0,0,0,0,1,0,16547
1.03,4,4,57.0,6.51,6.47,4.04,0,1,0,0,0,0,7365
1.25,4,7,58.0,6.93,6.86,4.28,0,0,0,1,0,0,5950
1.04,3,6,58.0,6.42,6.48,4.0,0,0,0,1,0,0,5285
0.4,4,3,59.0,4.85,4.78,2.86,0,1,0,0,0,0,1008
0.3,5,3,57.0,4.33,4.31,2.65,0,0,0,1,0,0,776
0.5,5,2,58.0,5.06,5.07,3.14,0,1,0,0,0,0,2018
0.43,5,5,56.0,4.83,4.87,3.01,1,0,0,0,0,0,981
1.01,3,6,58.0,6.4,6.51,3.92,0,1,0,0,0,0,5248
1.27,4,5,58.0,7.04,6.97,4.25,0,0,0,1,0,0,7496
0.3,5,1,56.0,4.3,4.34,2.65,0,1,0,0,0,0,873
0.52,5,5,55.0,5.16,5.19,3.21,0,0,1,0,0,0,2255
0.68,2,6,60.0,5.8,5.91,3.4,0,1,0,0,0,0,2074
1.0,1,7,60.0,6.11,5.98,4.09,0,0,0,1,0,0,2875
0.28,5,4,56.0,4.21,4.18,2.6,1,0,0,0,0,0,625
0.3,5,4,56.0,4.41,4.37,2.63,0,0,1,0,0,0,776
0.4,3,4,58.0,4.66,4.7,2.95,0,0,0,0,0,1,631
0.51,4,4,58.0,5.14,5.12,3.19,0,1,0,0,0,0,1749
1.14,5,6,57.0,6.7,6.75,4.14,0,0,0,1,0,0,5003
0.73,3,4,58.0,5.72,5.74,3.57,1,0,0,0,0,0,3226
0.72,5,5,55.0,5.8,5.77,3.57,1,0,0,0,0,0,3427
1.01,3,7,57.0,6.51,6.56,3.94,0,0,0,0,0,0,4588
0.52,3,6,59.0,5.08,5.13,3.16,0,0,1,0,0,0,1232
2.03,1,6,58.0,7.9,7.84,5.15,0,1,0,0,0,0,16280
0.4,4,6,59.0,4.72,4.7,2.92,0,0,1,0,0,0,900
1.72,4,4,59.0,7.86,7.82,4.65,0,0,0,1,0,0,14414
1.01,1,4,61.0,6.6,6.49,4.04,0,1,0,0,0,0,6651
0.41,5,3,56.0,4.72,4.75,2.96,0,1,0,0,0,0,1115
0.33,2,4,57.0,4.37,4.4,2.77,0,0,0,0,1,0,521
0.71,5,6,56.0,5.76,5.82,3.51,0,0,1,0,0,0,2368
0.96,3,7,63.0,6.3,6.36,3.81,0,0,0,0,0,0,3480
0.44,5,2,56.0,4.91,4.93,3.01,0,0,1,0,0,0,1202
0.57,4,7,60.0,5.32,5.36,3.26,1,0,0,0,0,0,1228
1.51,5,5,57.0,7.31,7.26,4.57,1,0,0,0,0,0,14482
1.02,4,7,59.0,6.38,6.45,4.02,0,1,0,0,0,0,4151
1.01,2,3,57.0,6.32,6.35,4.02,0,0,0,0,0,0,8943
0.3,5,6,57.0,4.34,4.37,2.63,0,0,1,0,0,0,487
1.0,5,7,57.0,6.42,6.45,3.94,0,0,0,1,0,0,4260
0.33,5,2,56.7,4.47,4.49,2.73,0,0,1,0,0,0,806
0.9,4,5,59.0,6.1,6.06,3.83,0,0,0,0,1,0,3292
0.96,4,6,62.0,6.41,6.39,3.76,1,0,0,0,0,0,4365
0.41,5,1,56.0,4.77,4.81,2.94,0,1,0,0,0,0,1439
1.01,5,3,56.0,6.41,6.45,3.98,0,0,0,0,0,0,11442
0.52,5,5,55.0,5.19,5.16,3.2,0,0,0,0,0,0,1919
0.4,5,7,54.0,4.68,4.71,2.94,1,0,0,0,0,0,644
0.39,5,6,57.0,4.75,4.79,2.89,1,0,0,0,0,0,677
0.5,5,5,56.0,5.12,5.11,3.18,1,0,0,0,0,0,1629
1.12,3,6,57.0,6.76,6.8,4.06,0,0,0,0,0,0,6132
0.82,4,6,58.0,5.99,6.04,3.68,0,0,0,0,0,1,2168
1.01,3,7,56.0,6.36,6.39,4.01,0,0,1,0,0,0,4176
0.32,4,2,61.0,4.45,4.4,2.66,0,0,0,0,1,0,756
1.02,5,7,57.0,6.49,6.43,3.99,0,1,0,0,0,0,4832
0.9,5,6,56.0,6.21,6.23,3.8,1,0,0,0,0,0,4854
0.3,5,1,58.0,4.31,4.38,2.66,1,0,0,0,0,0,957
1.83,5,6,56.0,7.87,7.81,4.82,0,0,0,1,0,0,15032
2.2,4,7,60.0,8.42,8.34,5.1,0,0,0,0,0,1,13065
1.13,3,3,58.0,6.64,6.67,4.09,0,0,0,0,0,0,13111
0.41,5,2,57.0,4.79,4.85,2.95,0,1,0,0,0,0,1205
1.56,4,5,58.0,7.44,7.39,4.63,0,0,0,1,0,0,10331
0.4,5,8,60.0,4.68,4.64,2.95,0,1,0,0,0,0,630
0.27,5,5,56.0,4.16,4.18,2.56,0,0,1,0,0,0,490
1.5,2,7,61.0,7.39,7.44,4.43,0,1,0,0,0,0,8181
1.04,4,7,59.0,6.57,6.49,4.06,0,0,1,0,0,0,3861
1.0,5,7,57.0,6.43,6.39,3.96,1,0,0,0,0,0,4829
0.32,5,4,57.0,4.37,4.4,2.69,0,0,1,0,0,0,645
0.3,3,2,56.0,4.29,4.32,2.66,1,0,0,0,0,0,1006
0.54,5,4,56.0,5.35,5.24,3.23,1,0,0,0,0,0,2041
0.53,2,6,58.0,5.17,5.12,3.28,0,1,0,0,0,0,1363
0.41,5,4,57.0,4.86,4.81,2.89,0,0,1,0,0,0,961
0.71,5,7,55.0,5.76,5.79,3.54,0,0,1,0,0,0,2387
1.03,1,6,61.0,6.67,6.71,3.84,0,0,0,0,1,0,3892
0.33,5,4,55.0,4.55,4.5,2.72,0,0,1,0,0,0,854
1.04,5,4,57.0,6.42,6.46,4.04,0,0,0,1,0,0,5577
0.4,4,7,59.0,4.74,4.78,2.88,1,0,0,0,0,0,640
2.48,1,7,66.0,8.88,8.64,4.99,0,0,0,0,1,0,15030
0.41,5,2,56.0,4.81,4.79,2.94,1,0,0,0,0,0,1431
0.76,5,2,54.7,5.83,5.87,3.62,0,0,1,0,0,0,3671
0.71,3,6,58.0,5.64,5.72,3.53,0,1,0,0,0,0,2221
0.52,2,5,57.0,5.12,5.16,3.26,1,0,0,0,0,0,1576
0.78,5,7,56.0,5.92,5.98,3.63,1,0,0,0,0,0,3053
1.53,5,6,58.0,7.35,7.37,4.58,0,0,0,0,0,1,7721
1.0,5,5,57.0,6.43,6.42,3.83,1,0,0,0,0,0,7168
0.53,3,4,59.0,5.16,5.21,3.21,1,0,0,0,0,0,1830
0.3,5,2,55.0,4.33,4.37,2.68,0,1,0,0,0,0,814
1.09,3,6,60.0,6.66,6.7,4.02,0,0,1,0,0,0,5305
1.02,3,2,57.0,6.4,6.59,4.04,1,0,0,0,0,0,10672
0.32,5,2,56.0,4.41,4.38,2.72,0,0,0,1,0,0,936
1.0,4,6,59.0,6.44,6.32,4.02,0,0,1,0,0,0,4956
0.4,3,4,56.0,4.74,4.77,2.94,1,0,0,0,0,0,1053
1.0,3,6,62.0,6.34,6.38,3.96,0,0,1,0,0,0,5511
1.52,1,5,66.0,7.72,7.67,4.26,0,0,1,0,0,0,10623
0.51,3,6,58.0,4.99,5.08,3.17,1,0,0,0,0,0,1330
0.91,1,6,57.0,6.13,6.08,3.96,0,1,0,0,0,0,2971
1.05,5,5,59.0,6.51,6.54,4.02,0,0,1,0,0,0,6981
1.6,5,6,56.0,7.52,7.48,4.68,0,0,0,0,1,0,9901
1.01,3,6,56.0,6.29,6.35,4.05,1,0,0,0,0,0,5479
0.43,3,6,56.0,4.8,4.83,3.02,0,0,1,0,0,0,754
1.7,3,6,57.0,7.63,7.55,4.8,0,0,0,0,0,1,9253
1.12,5,5,55.0,6.66,6.63,4.12,0,0,0,0,0,0,8430
0.23,3,3,59.0,4.09,4.03,2.36,0,0,1,0,0,0,438
0.7,5,6,57.0,5.78,5.82,3.49,1,0,0,0,0,0,2575
0.34,5,1,55.0,4.5,4.52,2.79,0,0,0,0,1,0,695
0.72,5,3,56.0,5.77,5.83,3.53,0,1,0,0,0,0,3746
1.6,3,5,57.0,7.55,7.59,4.62,0,0,1,0,0,0,14383
0.27,5,4,56.0,4.16,4.19,2.57,0,0,0,1,0,0,480
0.26,3,2,57.0,4.09,4.13,2.53,0,1,0,0,0,0,657
1.29,5,6,57.0,7.0,7.06,4.33,0,0,0,0,0,1,5237
1.03,2,6,56.0,6.57,6.66,3.92,0,0,0,1,0,0,4705
0.66,5,4,57.0,5.61,5.66,3.43,0,0,0,1,0,0,2131
0.8,5,5,57.0,6.02,6.07,3.7,0,0,1,0,0,0,2969
0.41,3,7,57.0,4.71,4.73,3.01,0,0,0,0,0,0,727
0.5,2,2,62.0,5.12,5.18,3.09,0,0,1,0,0,0,1966
1.51,5,5,57.0,7.42,7.45,4.53,0,0,0,0,0,0,15776
0.7,5,6,54.0,5.75,5.71,3.52,0,0,0,0,0,0,2822
0.31,5,2,53.0,4.36,4.4,2.72,0,0,1,0,0,0,789
1.0,5,7,58.0,6.34,6.39,3.99,0,0,0,0,0,0,5246
0.55,5,3,56.9,5.27,5.31,3.22,0,0,1,0,0,0,2064
0.41,5,1,55.0,4.79,4.82,2.97,0,0,0,1,0,0,1100
1.02,5,4,56.0,6.53,6.61,3.99,0,1,0,0,0,0,7091
0.54,5,5,57.0,5.25,5.2,3.28,0,1,0,0,0,0,1621
2.49,1,8,58.0,8.26,8.18,5.45,0,0,0,0,0,1,6289
0.9,4,4,55.0,6.29,6.27,3.83,0,0,0,0,1,0,3720
1.3,5,1,56.0,7.03,7.06,4.32,0,0,1,0,0,0,12932
0.38,5,6,56.0,4.64,4.67,2.88,0,0,1,0,0,0,639
0.4,4,4,58.0,4.78,4.81,2.92,0,0,0,0,0,0,1123
1.05,5,5,57.0,6.55,6.52,4.03,0,0,0,1,0,0,5833
1.41,3,7,57.0,7.36,7.44,4.33,0,0,0,1,0,0,7339
1.01,4,6,60.0,6.39,6.34,3.98,0,0,1,0,0,0,4672
0.57,2,4,61.0,5.35,5.38,3.22,0,1,0,0,0,0,1801
1.01,1,7,61.0,6.48,6.52,3.78,0,1,0,0,0,0,4127
0.43,5,2,57.0,4.86,4.92,2.96,0,0,1,0,0,0,1207
1.21,5,1,57.0,6.79,6.89,4.17,0,0,0,1,0,0,7789
0.57,4,5,59.0,5.29,5.26,3.28,1,0,0,0,0,0,2274
0.91,3,5,58.0,6.35,6.27,3.78,0,0,0,0,1,0,4008
0.98,1,7,56.0,6.12,6.02,4.04,0,0,1,0,0,0,3332
1.31,4,4,57.0,6.98,6.9,4.36,0,0,0,0,1,0,5759
0.54,3,4,61.0,5.31,5.26,3.17,0,1,0,0,0,0,1657
0.73,5,4,57.0,5.8,5.89,3.57,0,1,0,0,0,0,3140
1.01,3,7,62.0,6.37,6.41,3.93,0,0,0,0,1,0,3299
0.91,2,5,58.0,6.05,6.09,3.9,0,0,0,0,1,0,2863
0.72,5,5,54.0,5.76,5.8,3.59,0,1,0,0,0,0,2989
0.73,3,5,56.0,5.82,5.84,3.55,0,0,0,1,0,0,2779
1.24,5,2,56.0,6.86,6.91,4.28,0,0,1,0,0,0,11503
0.31,5,6,57.0,4.34,4.31,2.72,0,1,0,0,0,0,663
1.37,3,7,59.0,7.07,7.17,4.43,0,0,0,0,1,0,5834
0.32,5,5,56.0,4.4,4.38,2.7,0,0,0,1,0,0,648
0.41,1,4,58.0,4.62,4.66,3.03,0,0,0,0,1,0,735
0.31,4,4,60.0,4.37,4.35,2.66,1,0,0,0,0,0,816
1.52,3,5,57.0,7.41,7.49,4.53,0,0,1,0,0,0,12596
0.43,4,5,58.0,4.85,4.81,3.01,0,0,1,0,0,0,1113
0.23,3,3,59.0,3.95,4.0,2.4,0,0,0,0,0,0,530
1.14,3,7,54.0,6.74,6.97,4.11,1,0,0,0,0,0,5593
1.11,4,4,60.0,6.75,6.72,4.03,1,0,0,0,0,0,9299
1.04,5,6,57.0,6.57,6.52,4.0,0,0,0,0,0,1,3931
0.5,5,5,57.0,5.1,5.04,3.17,1,0,0,0,0,0,1629
1.65,3,6,58.0,7.49,7.62,4.65,0,0,0,0,0,1,7943
0.7,4,5,61.0,5.59,5.54,3.46,0,0,1,0,0,0,2657
0.64,4,5,62.0,5.48,5.46,3.37,1,0,0,0,0,0,1926
0.33,5,4,55.0,4.44,4.49,2.77,0,0,1,0,0,0,699
0.3,3,5,59.0,4.38,4.42,2.61,0,0,1,0,0,0,491
2.01,5,6,57.0,8.08,8.0,4.95,0,0,1,0,0,0,12829
0.38,5,3,53.4,4.63,4.66,2.9,0,0,0,1,0,0,832
0.7,4,4,56.0,5.78,5.71,3.46,0,0,0,1,0,0,2435
0.35,5,1,55.0,4.53,4.57,2.8,0,0,0,0,1,0,715
0.32,5,3,56.0,4.42,4.45,2.72,0,1,0,0,0,0,1002
0.47,1,6,56.0,4.84,4.65,3.24,1,0,0,0,0,0,829
1.12,4,6,56.0,6.73,6.65,4.15,0,0,0,0,1,0,4641
0.31,3,4,56.0,4.33,4.37,2.71,0,0,0,0,0,0,736
0.47,2,4,60.1,5.04,5.06,3.03,0,1,0,0,0,0,1243
0.4,5,3,56.0,4.75,4.76,2.93,0,0,0,0,1,0,770
1.04,5,7,57.0,6.55,6.51,3.95,0,0,0,1,0,0,3786
0.34,5,5,55.0,4.48,4.51,2.81,0,1,0,0,0,0,686
0.71,4,4,53.0,5.77,5.7,3.56,0,1,0,0,0,0,2961
0.58,5,5,57.0,5.41,5.39,3.3,1,0,0,0,0,0,1984
0.72,2,6,62.0,5.7,5.63,3.62,0,1,0,0,0,0,2229
1.52,4,7,59.0,7.31,7.26,4.58,1,0,0,0,0,0,9576
0.51,2,6,59.0,5.04,5.02,3.23,0,1,0,0,0,0,1406
1.12,5,3,56.0,6.82,6.78,4.11,0,1,0,0,0,0,10236
1.57,5,5,57.0,7.46,7.37,4.66,0,0,0,0,1,0,10462
0.9,1,4,56.0,5.94,5.9,4.0,1,0,0,0,0,0,3276
0.34,2,5,61.0,4.66,4.6,2.66,0,0,1,0,0,0,714
1.08,5,5,56.0,6.59,6.55,4.06,0,0,0,1,0,0,5625
0.54,2,6,63.0,5.25,5.3,3.16,1,0,0,0,0,0,1601
1.06,5,1,55.0,6.54,6.57,4.06,0,1,0,0,0,0,12539
1.5,2,5,60.0,7.26,7.32,4.41,0,0,0,0,1,0,8780
2.56,2,7,62.0,8.62,8.57,5.47,0,0,0,0,0,1,15231
1.56,4,7,59.0,7.64,7.6,4.48,0,0,0,1,0,0,8954
1.01,2,7,61.0,6.35,6.33,4.03,0,0,0,0,0,0,3959
1.04,5,5,55.0,6.5,6.54,4.03,0,0,0,0,1,0,5242
0.52,3,5,58.0,5.08,5.11,3.19,0,0,1,0,0,0,1423
0.31,4,4,58.0,4.36,4.31,2.69,0,0,1,0,0,0,695
1.28,5,4,53.0,6.94,6.97,4.36,0,0,1,0,0,0,9372
1.61,4,6,58.0,7.61,7.65,4.59,0,1,0,0,0,0,10477
1.3,5,3,57.0,7.04,7.11,4.31,0,0,1,0,0,0,11853
0.54,4,6,56.0,5.25,5.22,3.25,0,0,0,0,0,0,1786
0.35,5,7,55.0,4.53,4.48,2.83,0,1,0,0,0,0,591
0.71,4,6,58.0,5.73,5.75,3.52,0,0,0,0,0,0,2797
1.05,4,7,54.0,6.51,6.48,4.07,0,0,1,0,0,0,4018
1.02,5,7,57.0,6.43,6.49,3.99,0,1,0,0,0,0,4746
0.36,5,1,55.0,4.58,4.61,2.84,0,0,0,0,1,0,735
1.02,5,4,57.0,6.45,6.49,3.98,0,0,1,0,0,0,7055
0.38,5,7,55.0,4.69,4.72,2.89,1,0,0,0,0,0,603
1.52,2,4,55.0,7.27,7.19,4.63,1,0,0,0,0,0,15792
0.56,5,7,54.0,5.29,5.34,3.29,0,0,1,0,0,0,1173
0.41,5,6,55.0,4.79,4.77,2.99,0,0,0,1,0,0,876
0.42,4,5,61.0,4.84,4.81,2.9,0,0,1,0,0,0,1087
0.72,2,4,54.0,5.71,5.68,3.63,0,0,0,0,0,1,2062
1.0,2,7,62.0,6.53,6.49,3.77,0,0,0,1,0,0,4592
1.01,3,1,59.0,6.29,6.41,4.03,0,1,0,0,0,0,9972
0.98,4,7,56.0,6.44,6.35,3.98,0,1,0,0,0,0,3485
1.0,5,4,54.0,6.37,6.42,4.01,0,0,1,0,0,0,6349
1.7,5,4,58.0,7.73,7.68,4.69,0,0,0,0,0,1,10589
1.05,1,7,59.0,6.41,6.27,4.18,0,0,0,0,0,1,2789
0.4,5,5,56.0,4.66,4.7,2.94,0,0,0,0,0,0,918
2.05,3,7,56.0,8.13,8.18,5.05,0,1,0,0,0,0,15017
0.33,5,5,56.0,4.43,4.46,2.77,0,0,0,0,0,0,781
0.42,5,2,57.0,4.86,4.84,2.91,0,0,1,0,0,0,1235
1.2,5,6,55.0,6.71,6.79,4.23,0,0,0,0,0,0,7761
1.01,3,7,58.0,6.43,6.34,4.05,1,0,0,0,0,0,3801
1.19,5,7,56.0,6.84,6.8,4.22,1,0,0,0,0,0,5598
0.4,5,3,56.0,4.75,4.8,2.93,0,0,0,0,0,0,1078
0.32,3,6,58.0,4.36,4.33,2.74,0,0,0,1,0,0,591
0.33,5,2,55.0,4.42,4.45,2.74,0,0,1,0,0,0,868
0.33,5,7,55.0,4.46,4.48,2.76,0,0,1,0,0,0,463
0.5,4,6,56.0,5.07,5.06,3.17,1,0,0,0,0,0,1314
0.3,3,4,57.0,4.24,4.26,2.67,0,0,1,0,0,0,605
0.33,4,4,59.0,4.47,4.41,2.77,0,0,1,0,0,0,854
0.3,3,3,58.0,4.25,4.28,2.62,1,0,0,0,0,0,789
0.91,5,6,57.0,6.18,6.23,3.87,0,0,0,1,0,0,3635
0.58,4,4,58.0,5.35,5.3,3.31,1,0,0,0,0,0,2297
1.5,2,5,56.0,7.23,7.33,4.49,0,0,0,0,0,1,7177
1.01,2,7,58.0,6.31,6.37,4.03,0,0,1,0,0,0,3626
2.28,4,6,58.0,8.43,8.46,5.2,0,0,0,0,1,0,17673
0.92,5,6,55.0,6.25,6.19,3.87,0,1,0,0,0,0,3400
0.51,4,5,59.0,5.2,5.18,3.12,0,1,0,0,0,0,1574
0.51,3,6,57.0,5.06,5.11,3.2,1,0,0,0,0,0,1304
0.51,3,6,56.0,5.07,5.09,3.19,0,0,0,0,0,0,1569
1.28,5,5,57.0,6.99,6.94,4.33,0,0,1,0,0,0,8774
1.01,1,7,59.0,6.27,6.19,4.18,0,0,1,0,0,0,2942
1.54,5,5,57.0,7.39,7.5,4.6,0,0,0,0,0,1,8275
1.02,4,7,56.0,6.43,6.36,4.02,1,0,0,0,0,0,4478
1.01,4,5,59.0,6.48,6.55,3.92,0,0,1,0,0,0,5759
0.44,3,5,58.0,4.79,4.86,3.03,0,0,0,0,0,0,850
0.35,4,1,60.0,4.57,4.54,2.76,0,0,1,0,0,0,1116
1.7,3,4,58.0,7.52,7.54,4.79,0,0,0,0,0,1,9683
1.68,5,7,55.0,7.79,7.7,4.68,1,0,0,0,0,0,11888
0.7,3,6,56.0,5.61,5.5,3.51,0,1,0,0,0,0,2100
1.06,5,6,57.0,6.71,6.66,3.93,1,0,0,0,0,0,5877
1.01,3,6,59.0,6.43,6.5,3.93,1,0,0,0,0,0,6268
0.4,5,6,57.0,4.77,4.81,2.9,1,0,0,0,0,0,737
0.32,2,6,56.0,4.34,4.37,2.77,0,0,0,0,0,0,589
0.54,5,5,56.0,5.25,5.28,3.21,1,0,0,0,0,0,1754
1.03,5,6,56.0,6.55,6.51,4.0,0,1,0,0,0,0,5595
0.56,5,2,53.8,5.27,5.33,3.29,0,0,0,1,0,0,1961
1.5,3,6,58.0,7.29,7.26,4.54,0,0,0,1,0,0,9237
0.23,1,3,66.0,3.87,3.91,2.39,0,0,1,0,0,0,369
1.05,5,3,56.0,6.49,6.53,4.05,0,0,1,0,0,0,8645
0.55,5,6,57.0,5.24,5.3,3.21,0,0,0,0,0,1,1100
1.31,3,5,56.0,6.95,6.9,4.37,1,0,0,0,0,0,10094
0.41,3,5,56.0,4.75,4.79,2.98,1,0,0,0,0,0,960
1.03,5,4,56.0,6.49,6.54,4.02,0,1,0,0,0,0,7137
0.7,4,5,58.0,5.74,5.68,3.55,0,0,0,1,0,0,2184
0.4,4,2,57.0,4.8,4.76,2.91,0,0,1,0,0,0,1200
1.01,5,3,54.0,6.41,6.48,4.01,0,0,1,0,0,0,8104
0.75,3,6,60.0,5.89,5.93,3.56,1,0,0,0,0,0,2968
0.35,5,5,57.0,4.55,4.53,2.82,0,1,0,0,0,0,906
0.57,5,5,57.0,5.29,5.31,3.28,1,0,0,0,0,0,1851
0.73,4,6,58.0,5.82,5.85,3.55,0,0,1,0,0,0,2163
0.37,3,4,56.0,4.59,4.63,2.86,1,0,0,0,0,0,925
0.34,5,5,56.0,4.47,4.45,2.77,0,1,0,0,0,0,880
0.31,5,5,57.0,4.3,4.34,2.71,0,0,0,0,0,0,734
0.26,4,4,58.0,4.11,4.1,2.54,1,0,0,0,0,0,580
0.32,3,4,57.0,4.37,4.34,2.75,0,0,0,1,0,0,720
0.33,3,5,58.0,4.42,4.47,2.75,1,0,0,0,0,0,627
2.0,3,6,58.0,8.07,8.15,4.94,0,0,0,1,0,0,16280
0.38,4,5,58.0,4.75,4.69,2.84,0,0,0,0,1,0,812
0.34,3,6,60.0,4.5,4.54,2.72,0,0,0,0,0,0,626
2.0,1,4,68.0,8.26,8.15,4.8,0,0,0,0,1,0,11322
1.01,4,6,59.0,6.34,6.41,3.94,0,1,0,0,0,0,4899
0.54,3,7,59.0,5.17,5.2,3.25,0,0,0,1,0,0,1099
1.5,3,6,58.0,7.16,7.25,4.57,0,0,0,0,0,0,11352
1.0,2,6,54.0,6.23,6.27,4.07,0,0,0,0,0,0,4786
1.02,3,7,61.0,6.47,6.53,3.96,0,0,0,0,0,0,4904
0.44,4,3,60.0,4.94,4.88,3.01,0,0,1,0,0,0,1155
1.02,5,7,57.0,6.35,6.44,4.01,1,0,0,0,0,0,4585
0.23,3,5,53.0,3.91,3.93,2.46,0,0,1,0,0,0,369
1.0,2,7,61.0,6.31,6.38,3.84,1,0,0,0,0,0,4004
0.51,3,7,58.0,5.09,5.02,3.2,0,0,0,0,1,0,995
1.01,5,6,56.0,6.48,6.43,3.94,0,0,0,1,0,0,5062
1.03,5,6,59.0,6.41,6.45,4.0,0,0,1,0,0,0,5684
0.4,4,7,60.0,4.69,4.75,2.93,0,0,0,0,0,0,666
1.54,4,4,58.0,7.39,7.42,4.56,0,0,0,0,1,0,10164
0.8,5,5,57.0,5.95,6.0,3.71,0,0,1,0,0,0,3494
0.63,5,5,54.0,5.51,5.54,3.43,0,0,0,0,1,0,1423
0.71,3,4,59.0,5.7,5.74,3.56,0,0,0,0,1,0,2432
0.3,5,2,56.0,4.34,4.32,2.66,0,0,1,0,0,0,945
0.38,4,2,59.0,4.63,4.66,2.85,0,0,0,0,0,0,1400
0.77,5,3,56.0,5.91,5.94,3.63,0,0,0,1,0,0,3707
0.73,5,2,57.0,5.76,5.8,3.58,0,0,1,0,0,0,3669
0.9,3,4,60.0,6.11,6.2,3.8,0,0,1,0,0,0,4872
1.5,1,4,57.0,7.14,7.07,4.65,1,0,0,0,0,0,15584
0.31,4,4,59.0,4.38,4.42,2.64,1,0,0,0,0,0,734
1.09,4,6,58.0,6.51,6.56,4.1,0,1,0,0,0,0,5287
0.75,4,7,59.0,5.88,5.83,3.59,0,0,0,0,0,0,1858
0.34,4,2,58.0,4.45,4.47,2.79,0,0,0,0,1,0,626
1.9,4,7,58.0,7.93,7.86,4.97,0,0,1,0,0,0,13919
1.2,3,7,58.0,6.78,6.74,4.27,0,1,0,0,0,0,4502
1.01,4,7,58.0,6.66,6.62,3.89,1,0,0,0,0,0,4308
0.51,4,6,59.0,5.13,5.13,3.16,0,1,0,0,0,0,1421
0.32,4,2,59.0,4.45,4.43,2.7,1,0,0,0,0,0,1044
0.4,5,4,57.0,4.77,4.82,2.88,1,0,0,0,0,0,931
0.51,5,3,55.5,5.08,5.13,3.18,0,0,1,0,0,0,1794
0.78,1,7,55.2,5.75,5.82,3.76,0,0,1,0,0,0,2401
0.9,3,6,59.0,6.12,6.18,3.86,0,0,0,0,0,0,4466
1.04,1,7,56.0,6.28,6.22,4.22,1,0,0,0,0,0,4566
0.41,4,5,60.0,4.84,4.81,2.91,0,1,0,0,0,0,1107
1.51,2,6,59.0,7.16,7.2,4.51,1,0,0,0,0,0,11487
1.67,4,5,56.0,7.64,7.6,4.72,0,0,0,0,1,0,10736
1.03,5,7,56.0,6.46,6.43,4.05,0,0,0,0,0,0,4764
0.72,5,7,57.0,5.72,5.75,3.56,0,1,0,0,0,0,2241
0.31,5,3,54.0,4.38,4.4,2.72,1,0,0,0,0,0,791
0.38,5,1,54.0,4.68,4.71,2.92,0,1,0,0,0,0,1229
0.5,5,5,55.0,5.16,5.21,3.13,0,0,0,1,0,0,1306
1.52,5,5,54.0,7.3,7.36,4.61,0,0,1,0,0,0,13809
0.38,5,1,60.0,4.71,4.76,2.84,0,0,0,1,0,0,1064
0.83,3,4,60.0,6.07,6.1,3.72,0,0,0,0,1,0,2788
0.56,1,6,61.0,5.22,5.09,3.33,1,0,0,0,0,0,1358
0.81,4,6,58.0,6.07,5.99,3.66,0,0,0,0,0,0,3135
0.32,5,5,57.0,4.34,4.38,2.72,0,1,0,0,0,0,645
0.33,5,3,57.0,4.51,4.48,2.7,0,0,1,0,0,0,965
0.31,5,5,55.0,4.36,4.38,2.71,0,0,0,0,0,0,734
0.3,5,5,56.0,4.27,4.3,2.67,1,0,0,0,0,0,603
0.42,5,4,57.0,4.8,4.85,2.96,0,1,0,0,0,0,1031
0.26,2,4,63.0,4.19,4.24,2.46,0,0,0,0,0,0,403
1.16,3,5,63.0,6.79,6.7,4.07,0,1,0,0,0,0,7803
0.7,5,3,56.5,5.65,5.72,3.51,0,0,0,0,1,0,2487
0.55,5,6,57.0,5.36,5.38,3.22,1,0,0,0,0,0,1621
1.12,4,7,58.0,6.74,6.66,4.15,0,0,0,1,0,0,4704
0.29,5,2,55.0,4.25,4.29,2.66,0,0,1,0,0,0,607
0.3,3,4,56.0,4.31,4.34,2.66,0,1,0,0,0,0,654
1.25,4,4,58.0,6.92,6.88,4.29,0,0,0,0,0,1,5740
1.8,5,6,56.0,7.78,7.87,4.84,0,1,0,0,0,0,14814
0.72,3,3,56.0,5.81,5.83,3.51,0,0,0,1,0,0,2771
0.78,5,5,56.0,5.91,5.95,3.64,1,0,0,0,0,0,3582
1.53,5,5,56.0,7.39,7.44,4.55,0,0,0,0,1,0,11434
0.9,3,5,57.0,6.12,6.09,3.85,0,0,0,0,1,0,3473
